size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;0; 21;0,000000;
100000;11; 6;0,264287;
100000;0; 23;0,000000;
100000;16; 2;0,543386;
100000;13; 3;0,134717;
100000;0; 22;0,000000;
100000;12; 4;0,077768;
100000;6; 1;0,000362;
100000;12; 2;0,349985;
100000;14; 2;0,283569;
100000;14; 3;0,177961;
100000;11; 2;0,187187;
100000;15; 3;0,209058;
100000;0; 27;0,000000;
100000;14; 7;0,517712;
100000;16; 14;0,492253;
100000;13; 11;0,540030;
100000;11; 2;0,033354;
100000;0; 16;0,000000;
100000;11; 13;0,251445;
100000;0; 29;0,000000;
100000;0; 37;0,000000;
100000;13; 3;0,475180;
100000;12; 4;0,239696;
100000;14; 1;0,593749;
100000;15; 6;0,311260;
100000;12; 4;0,135473;
100000;0; 24;0,000000;
100000;13; 10;0,369135;
100000;15; 6;0,209058;
100000;12; 4;0,065054;
100000;13; 2;0,109395;
100000;0; 31;0,000000;
100000;13; 20;0,270756;
100000;0; 38;0,000000;
100000;0; 11;0,000000;
100000;0; 38;0,000000;
100000;11; 4;0,068228;
100000;12; 4;0,615381;
100000;0; 15;0,000000;
100000;0; 23;0,000000;
100000;12; 10;0,104721;
100000;0; 17;0,000000;
100000;14; 4;0,356192;
100000;16; 5;0,496445;
100000;13; 10;0,270756;
100000;10; 2;0,026405;
100000;0; 20;0,000000;
100000;0; 31;0,000000;
100000;0; 34;0,000000;
100000;11; 4;0,038323;
100000;12; 9;0,021243;
100000;12; 1;0,428015;
100000;13; 5;0,567044;
100000;11; 1;0,194097;
100000;13; 15;0,617200;
100000;13; 3;0,235112;
100000;13; 18;0,166261;
100000;0; 21;0,000000;
100000;11; 4;0,251591;
100000;13; 3;0,303114;
100000;0; 29;0,000000;
100000;13; 11;0,262972;
100000;12; 5;0,546537;
100000;13; 2;0,037668;
100000;15; 2;0,116068;
100000;12; 6;0,101396;
100000;16; 9;0,118495;
100000;16; 17;0,492253;
100000;11; 1;0,605927;
100000;16; 18;0,492253;
100000;12; 2;0,148364;
100000;13; 9;0,479170;
100000;0; 24;0,000000;
100000;16; 1;0,668397;
100000;14; 11;0,184758;
100000;15; 2;0,678757;
100000;7; 23;0,000148;
100000;12; 6;0,249801;
100000;13; 7;0,174596;
100000;15; 9;0,499871;
100000;14; 9;0,116358;
100000;4; 12;0,000006;
100000;7; 22;0,000148;
100000;15; 13;0,549660;
100000;4; 15;0,000006;
100000;12; 3;0,190441;
100000;4; 10;0,000006;
100000;14; 3;0,087815;
100000;4; 14;0,000006;
100000;4; 15;0,000006;
100000;4; 27;0,000006;
100000;7; 33;0,000148;
100000;4; 15;0,000006;
100000;4; 19;0,000006;
100000;14; 14;0,667081;
100000;4; 35;0,000006;
100000;17; 13;0,368745;
100000;14; 3;0,609864;
100000;13; 10;0,199840;
100000;14; 1;0,316278;
100000;4; 21;0,000006;
100000;14; 4;0,468102;
100000;13; 5;0,081244;
100000;13; 12;0,104529;
100000;13; 7;0,104529;
100000;11; 1;0,246699;
100000;4; 25;0,000006;
100000;7; 33;0,000148;
100000;4; 11;0,000006;
100000;4; 35;0,000006;
100000;4; 14;0,000006;
100000;12; 5;0,012016;
100000;4; 13;0,000006;
100000;11; 3;0,125189;
100000;4; 20;0,000006;
100000;14; 2;0,725569;
100000;10; 4;0,005796;
100000;4; 16;0,000006;
100000;18; 5;0,398328;
100000;13; 1;0,156017;
100000;4; 17;0,000006;
100000;16; 5;0,504417;
100000;17; 3;0,489615;
100000;4; 18;0,000006;
100000;12; 6;0,244672;
100000;12; 12;0,301326;
100000;7; 36;0,000148;
100000;4; 18;0,000006;
100000;14; 4;0,318460;
100000;10; 2;0,009088;
100000;12; 6;0,005645;
100000;14; 3;0,378600;
100000;11; 9;0,029402;
100000;18; 2;0,438062;
100000;7; 24;0,000148;
100000;13; 2;0,648588;
100000;14; 2;0,402902;
100000;11; 4;0,010423;
100000;16; 6;0,333263;
100000;15; 16;0,549660;
100000;10; 2;0,151347;
100000;16; 4;0,431260;
100000;12; 7;0,469549;
100000;11; 7;0,036420;
100000;7; 33;0,000148;
100000;4; 22;0,000006;
100000;15; 1;0,702721;
100000;14; 11;0,340072;
100000;19; 17;0,709649;
100000;7; 41;0,000148;
100000;16; 3;0,518710;
100000;15; 7;0,712849;
100000;4; 15;0,000006;
100000;15; 12;0,299562;
100000;7; 28;0,000148;
100000;12; 3;0,294151;
100000;4; 17;0,000006;
100000;13; 2;0,100000;
100000;15; 2;0,341982;
100000;17; 7;0,559311;
100000;12; 10;0,140114;
100000;4; 19;0,000006;
100000;14; 5;0,500954;
100000;13; 3;0,595161;
100000;4; 33;0,000006;
100000;11; 1;0,028478;
100000;4; 27;0,000006;
100000;10; 2;0,026064;
100000;12; 4;0,147849;
100000;12; 4;0,119702;
100000;4; 14;0,000006;
100000;15; 7;0,525984;
100000;15; 3;0,170339;
100000;10; 1;0,014186;
100000;5; 11;0,000038;
100000;12; 1;0,064708;
100000;12; 5;0,171623;
100000;12; 1;0,588598;
100000;11; 3;0,033108;
100000;14; 1;0,126355;
100000;10; 2;0,015784;
100000;15; 3;0,081583;
100000;12; 3;0,243951;
100000;5; 42;0,000038;
100000;12; 5;0,314411;
100000;13; 2;0,309695;
100000;13; 3;0,333145;
100000;15; 1;0,265236;
100000;10; 3;0,006996;
100000;5; 19;0,000038;
100000;12; 1;0,135063;
100000;5; 16;0,000038;
100000;14; 3;0,172916;
100000;15; 2;0,205602;
100000;14; 3;0,607694;
100000;11; 3;0,255075;
100000;5; 14;0,000038;
100000;10; 1;0,103353;
100000;5; 9;0,000038;
100000;16; 4;0,646712;
100000;14; 6;0,419811;
100000;5; 13;0,000038;
100000;12; 8;0,016425;
100000;5; 13;0,000038;
100000;12; 3;0,006845;
100000;13; 1;0,083312;
100000;5; 19;0,000038;
100000;13; 2;0,327296;
100000;10; 9;0,016948;
100000;14; 8;0,177127;
100000;16; 5;0,477252;
100000;12; 2;0,182456;
100000;13; 8;0,598006;
100000;5; 16;0,000038;
100000;14; 4;0,418898;
100000;5; 10;0,000038;
100000;13; 2;0,358160;
100000;13; 5;0,170252;
100000;5; 16;0,000038;
100000;5; 12;0,000038;
100000;5; 20;0,000038;
100000;10; 4;0,228181;
100000;11; 2;0,286952;
100000;5; 16;0,000038;
100000;12; 5;0,371756;
100000;13; 5;0,309525;
100000;11; 6;0,074476;
100000;13; 9;0,328367;
100000;11; 1;0,183838;
100000;12; 3;0,307600;
100000;12; 6;0,185832;
100000;13; 10;0,253880;
100000;9; 4;0,004718;
100000;11; 4;0,207308;
100000;10; 9;0,041428;
100000;13; 4;0,585394;
100000;15; 11;0,447027;
100000;11; 3;0,070416;
100000;10; 8;0,073176;
100000;5; 33;0,000038;
100000;14; 3;0,456322;
100000;13; 2;0,565438;
100000;11; 4;0,044255;
100000;12; 2;0,290262;
100000;10; 9;0,066570;
100000;15; 4;0,510636;
100000;13; 5;0,359660;
100000;5; 34;0,000038;
100000;13; 12;0,120228;
100000;12; 4;0,399588;
100000;12; 2;0,320293;
100000;12; 2;0,161885;
100000;5; 29;0,000038;
100000;14; 14;0,326929;
100000;5; 13;0,000038;
100000;13; 4;0,087018;
100000;14; 3;0,230487;
100000;13; 8;0,381802;
100000;13; 3;0,470556;
100000;14; 4;0,301975;
100000;12; 6;0,179361;
100000;5; 12;0,000038;
100000;13; 1;0,016395;
100000;5; 30;0,000038;
100000;5; 22;0,000038;
100000;5; 19;0,000038;
100000;5; 16;0,000038;
100000;5; 17;0,000038;
100000;11; 3;0,006970;
100000;5; 20;0,000038;
100000;14; 3;0,103087;
100000;13; 7;0,330334;
100000;14; 9;0,230487;
100000;18; 1;0,328551;
100000;20; 1;0,174097;
100000;17; 6;0,073358;
100000;0; 35;0,000000;
100000;15; 3;0,086152;
100000;0; 16;0,000000;
100000;0; 12;0,000000;
100000;15; 14;0,228806;
100000;0; 23;0,000000;
100000;16; 2;0,548131;
100000;17; 21;0,275378;
100000;16; 1;0,181153;
100000;17; 2;0,153860;
100000;0; 31;0,000000;
100000;0; 21;0,000000;
100000;17; 8;0,387533;
100000;0; 23;0,000000;
100000;0; 22;0,000000;
100000;20; 10;0,317401;
100000;0; 18;0,000000;
100000;20; 15;0,347341;
100000;0; 39;0,000000;
100000;17; 2;0,292862;
100000;16; 6;0,022477;
100000;16; 5;0,076380;
100000;17; 14;0,230050;
100000;17; 1;0,291038;
100000;13; 4;0,045126;
100000;14; 1;0,032116;
100000;17; 3;0,171863;
100000;17; 5;0,438463;
100000;20; 9;0,451547;
100000;19; 11;0,135524;
100000;0; 27;0,000000;
100000;15; 1;0,154289;
100000;15; 9;0,340420;
100000;0; 28;0,000000;
100000;0; 13;0,000000;
100000;15; 1;0,353368;
100000;0; 29;0,000000;
100000;0; 16;0,000000;
100000;17; 7;0,333596;
100000;0; 21;0,000000;
100000;16; 1;0,356002;
100000;20; 1;0,619715;
100000;15; 1;0,257334;
100000;0; 23;0,000000;
100000;21; 2;0,278671;
100000;11; 9;0,004828;
100000;16; 13;0,045847;
100000;21; 10;0,426833;
100000;18; 7;0,444479;
100000;0; 19;0,000000;
100000;11; 3;0,009262;
100000;16; 1;0,048949;
100000;0; 29;0,000000;
100000;0; 35;0,000000;
100000;14; 4;0,185151;
100000;17; 4;0,073358;
100000;10; 5;0,002302;
100000;15; 5;0,311538;
100000;0; 29;0,000000;
100000;17; 6;0,222266;
100000;18; 2;0,289182;
100000;16; 8;0,221645;
100000;16; 2;0,041829;
100000;0; 29;0,000000;
100000;18; 3;0,176941;
100000;12; 14;0,007144;
100000;15; 5;0,033306;
100000;9; 2;0,004370;
100000;16; 15;0,180754;
100000;20; 4;0,426242;
100000;16; 1;0,353681;
100000;16; 4;0,118247;
100000;12; 3;0,012515;
100000;0; 17;0,000000;
100000;18; 5;0,285587;
100000;19; 2;0,423318;
100000;16; 2;0,104715;
100000;14; 2;0,211097;
100000;18; 5;0,199769;
100000;0; 16;0,000000;
100000;0; 25;0,000000;
100000;18; 2;0,218205;
100000;17; 3;0,560598;
100000;14; 2;0,308529;
100000;16; 5;0,450756;
100000;16; 5;0,567085;
100000;16; 4;0,612212;
100000;0; 22;0,000000;
100000;17; 3;0,181879;
100000;0; 15;0,000000;
100000;17; 1;0,386614;
100000;0; 12;0,000000;
100000;20; 22;0,451547;
100000;18; 4;0,208975;
100000;19; 2;0,482173;
100000;0; 20;0,000000;
100000;19; 9;0,183550;
100000;10; 6;0,032521;
100000;13; 1;0,337399;
100000;0; 13;0,000000;
100000;12; 7;0,123472;
100000;13; 7;0,280228;
100000;15; 2;0,224251;
100000;11; 4;0,473587;
100000;13; 8;0,128584;
100000;13; 6;0,206118;
100000;0; 23;0,000000;
100000;12; 1;0,115710;
100000;16; 5;0,380849;
100000;13; 4;0,323781;
100000;0; 16;0,000000;
100000;13; 12;0,339676;
100000;13; 3;0,268892;
100000;0; 16;0,000000;
100000;13; 5;0,119950;
100000;0; 18;0,000000;
100000;0; 13;0,000000;
100000;15; 9;0,110524;
100000;13; 6;0,469051;
100000;14; 7;0,363870;
100000;15; 1;0,358220;
100000;12; 7;0,218613;
100000;14; 1;0,211118;
100000;7; 3;0,006045;
100000;0; 27;0,000000;
100000;14; 15;0,392377;
100000;13; 3;0,280036;
100000;11; 1;0,014437;
100000;13; 8;0,172467;
100000;0; 11;0,000000;
100000;14; 20;0,055054;
100000;0; 32;0,000000;
100000;13; 2;0,038960;
100000;11; 5;0,018976;
100000;0; 22;0,000000;
100000;0; 18;0,000000;
100000;13; 2;0,198631;
100000;11; 4;0,056045;
100000;11; 20;0,091611;
100000;15; 3;0,310635;
100000;13; 4;0,020940;
100000;0; 21;0,000000;
100000;12; 8;0,298851;
100000;0; 17;0,000000;
100000;0; 11;0,000000;
100000;13; 10;0,178970;
100000;12; 4;0,203211;
100000;14; 13;0,530277;
100000;0; 23;0,000000;
100000;8; 3;0,002156;
100000;13; 11;0,254073;
100000;0; 17;0,000000;
100000;12; 3;0,201936;
100000;0; 26;0,000000;
100000;12; 6;0,330668;
100000;13; 16;0,339676;
100000;12; 4;0,393332;
100000;9; 6;0,128100;
100000;12; 2;0,323559;
100000;10; 2;0,085147;
100000;12; 8;0,082744;
100000;14; 8;0,188697;
100000;15; 3;0,305801;
100000;15; 1;0,315270;
100000;11; 1;0,212294;
100000;0; 21;0,000000;
100000;14; 2;0,440086;
100000;11; 5;0,013629;
100000;14; 1;0,232607;
100000;9; 2;0,264648;
100000;15; 2;0,301623;
100000;15; 15;0,110524;
100000;0; 17;0,000000;
100000;6; 8;0,003188;
100000;10; 2;0,215803;
100000;11; 2;0,126921;
100000;0; 22;0,000000;
100000;12; 6;0,202540;
100000;14; 1;0,325208;
100000;14; 2;0,295994;
100000;13; 10;0,178970;
100000;0; 11;0,000000;
100000;14; 7;0,368070;
100000;12; 3;0,290437;
100000;12; 1;0,052460;
100000;16; 5;0,136333;
100000;0; 10;0,000000;
100000;0; 25;0,000000;
100000;10; 7;0,014548;
100000;15; 11;0,295969;
100000;13; 1;0,209465;
100000;0; 22;0,000000;
100000;0; 20;0,000000;
100000;12; 1;0,126822;
100000;15; 8;0,110524;
100000;0; 16;0,000000;
100000;0; 20;0,000000;
100000;13; 3;0,013298;
100000;2; 25;0,000006;
100000;17; 3;0,529276;
100000;15; 14;0,147623;
100000;16; 3;0,555638;
100000;2; 24;0,000006;
100000;14; 3;0,374700;
100000;2; 16;0,000006;
100000;2; 38;0,000006;
100000;14; 6;0,493113;
100000;17; 2;0,214597;
100000;17; 14;0,447863;
100000;15; 7;0,210869;
100000;2; 13;0,000006;
100000;16; 8;0,142921;
100000;12; 6;0,142042;
100000;19; 6;0,749177;
100000;13; 1;0,250419;
100000;16; 8;0,135240;
100000;16; 6;0,608491;
100000;14; 3;0,252487;
100000;2; 23;0,000006;
100000;16; 2;0,156341;
100000;2; 13;0,000006;
100000;2; 21;0,000006;
100000;14; 4;0,045994;
100000;2; 30;0,000006;
100000;16; 2;0,373351;
100000;16; 9;0,471432;
100000;14; 8;0,033483;
100000;15; 7;0,113994;
100000;2; 16;0,000006;
100000;17; 2;0,236368;
100000;17; 3;0,129179;
100000;2; 26;0,000006;
100000;16; 9;0,697555;
100000;13; 4;0,141839;
100000;13; 9;0,054670;
100000;14; 7;0,111122;
100000;2; 12;0,000006;
100000;15; 10;0,156728;
100000;17; 5;0,121175;
100000;14; 2;0,264857;
100000;15; 3;0,154634;
100000;10; 3;0,002581;
100000;18; 2;0,537450;
100000;15; 2;0,082197;
100000;18; 2;0,487134;
100000;2; 23;0,000006;
100000;13; 22;0,254431;
100000;16; 1;0,681821;
100000;13; 6;0,030370;
100000;18; 1;0,196932;
100000;2; 19;0,000006;
100000;17; 1;0,416582;
100000;19; 9;0,534367;
100000;19; 2;0,723959;
100000;2; 17;0,000006;
100000;16; 6;0,310364;
100000;2; 31;0,000006;
100000;17; 2;0,529113;
100000;14; 2;0,077378;
100000;13; 1;0,330530;
100000;17; 10;0,446759;
100000;16; 20;0,692475;
100000;2; 16;0,000006;
100000;16; 5;0,714991;
100000;15; 2;0,188339;
100000;16; 1;0,526625;
100000;15; 2;0,200702;
100000;2; 35;0,000006;
100000;13; 2;0,139315;
100000;18; 17;0,512626;
100000;2; 16;0,000006;
100000;17; 3;0,203727;
100000;2; 23;0,000006;
100000;17; 1;0,695710;
100000;20; 9;0,537927;
100000;16; 6;0,369143;
100000;18; 18;0,220239;
100000;15; 14;0,174468;
100000;15; 12;0,147623;
100000;15; 2;0,666899;
100000;2; 23;0,000006;
100000;2; 22;0,000006;
100000;15; 14;0,720925;
100000;17; 5;0,447863;
100000;16; 10;0,493930;
100000;15; 15;0,147623;
100000;13; 3;0,020117;
100000;2; 22;0,000006;
100000;17; 4;0,273969;
100000;2; 16;0,000006;
100000;2; 22;0,000006;
100000;14; 4;0,013925;
100000;2; 11;0,000006;
100000;15; 2;0,064434;
100000;16; 2;0,463389;
100000;15; 6;0,525220;
100000;19; 9;0,223567;
100000;13; 1;0,801539;
100000;16; 1;0,303293;
100000;0; 36;0,000000;
100000;14; 10;0,127535;
100000;19; 17;0,574457;
100000;15; 2;0,490092;
100000;13; 2;0,110208;
100000;15; 1;0,496651;
100000;14; 1;0,619568;
100000;0; 13;0,000000;
100000;19; 7;0,505274;
100000;11; 14;0,017293;
100000;10; 2;0,066243;
100000;14; 8;0,449436;
100000;0; 32;0,000000;
100000;17; 7;0,538360;
100000;14; 6;0,101364;
100000;0; 17;0,000000;
