Algorithm:	ErdeshRandomGraph p: 8.000080000800008E-5
Degree;Fraction;
1;290
2;1084
3;2867
4;5712
5;9200
6;12173
7;14082
8;13796
9;12461
10;10009
11;7072
12;4934
13;2990
14;1661
15;825
16;470
17;210
18;71
19;43
20;13
21;6
22;2
23;1
25;1
Total link number;399644
AvgClusteringCoeff;0.0029724103519459554
Number of Connected Components;28
