lenght;probability;succeed
0;0,0;0,0
1;0,0;0,0
2;0,0012;0,0008
3;0,0146;0,008
4;0,0798;0,0501
5;0,2118;0,1482
6;0,2904;0,2215
7;0,2297;0,1851
8;0,1189;0,1002
9;0,0415;0,0353
10;0,0092;0,0081
11;0,0027;0,0022
