lenght;probability;succeed
0;0,0;0,0
1;0,0161;0,0
2;0,0289;0,0001
3;0,017;0,0003
4;0,0113;0,0002
5;0,007;0,0008
6;0,0054;0,0016
7;0,007;0,0036
8;0,0125;0,01
9;0,0192;0,016
10;0,0265;0,0246
11;0,0381;0,0367
12;0,0474;0,0453
13;0,0556;0,0536
14;0,0682;0,0668
15;0,0702;0,0689
16;0,0748;0,0733
17;0,0692;0,0678
18;0,0613;0,0601
19;0,062;0,0614
20;0,0514;0,0502
21;0,0458;0,0448
22;0,037;0,0366
23;0,0316;0,0314
24;0,0275;0,0269
25;0,0224;0,0223
26;0,0188;0,0187
27;0,0163;0,0163
28;0,0111;0,0108
29;0,0102;0,0097
30;0,0087;0,0086
31;0,0051;0,0051
32;0,0038;0,0037
33;0,0034;0,0034
34;0,0029;0,0029
35;0,0017;0,0016
36;0,0012;0,0011
37;0,0012;0,0011
38;0,0008;0,0008
39;0,0005;0,0005
40;0,0004;0,0003
41;0,0002;0,0002
42;0,0002;0,0002
43;0,0;0,0
