Algorithm:	Modified Algorithm nn=4 initAttems=20
4	19674
5	15583
6	12801
7	10293
8	8368
9	6679
10	5404
11	4349
12	3452
13	2848
14	2145
15	1749
16	1420
17	1183
18	844
19	685
20	528
21	425
22	334
23	255
24	202
25	183
26	127
27	99
28	85
29	64
30	46
31	39
32	26
33	14
34	16
35	22
36	17
37	9
38	7
39	2
40	2
41	2
42	5
43	4
44	2
45	4
46	1
49	1
50	1
52	1
Total link number:	399990
