 k=5 minAttempts=1 maxAttempts=20 dataBaseSize=100000 querySetSize=500 testSeqSize=300
K = 5 Attepts = 1	recall = 0.3293333333333333	ScanedPercent = 0.004150566666666667	Avg Scanned	415.0566666666667	Avg Steps	12.39
K = 5 Attepts = 2	recall = 0.5013333333333333	ScanedPercent = 0.007872266666666667	Avg Scanned	787.2266666666667	Avg Steps	24.75
K = 5 Attepts = 3	recall = 0.634	ScanedPercent = 0.011449866666666666	Avg Scanned	1144.9866666666667	Avg Steps	37.50333333333333
K = 5 Attepts = 4	recall = 0.6966666666666667	ScanedPercent = 0.0146922	Avg Scanned	1469.22	Avg Steps	49.17333333333333
K = 5 Attepts = 5	recall = 0.7613333333333333	ScanedPercent = 0.018246633333333335	Avg Scanned	1824.6633333333334	Avg Steps	62.1
K = 5 Attepts = 6	recall = 0.798	ScanedPercent = 0.021056666666666668	Avg Scanned	2105.6666666666665	Avg Steps	74.19666666666667
K = 5 Attepts = 7	recall = 0.8273333333333334	ScanedPercent = 0.024241166666666668	Avg Scanned	2424.116666666667	Avg Steps	86.08333333333333
K = 5 Attepts = 8	recall = 0.8473333333333334	ScanedPercent = 0.027450633333333332	Avg Scanned	2745.0633333333335	Avg Steps	98.91
K = 5 Attepts = 9	recall = 0.8646666666666667	ScanedPercent = 0.0301123	Avg Scanned	3011.23	Avg Steps	111.05666666666667
K = 5 Attepts = 10	recall = 0.8826666666666667	ScanedPercent = 0.03304346666666667	Avg Scanned	3304.346666666667	Avg Steps	123.31333333333333
K = 5 Attepts = 11	recall = 0.898	ScanedPercent = 0.03553083333333333	Avg Scanned	3553.0833333333335	Avg Steps	135.38666666666666
K = 5 Attepts = 12	recall = 0.9053333333333333	ScanedPercent = 0.03815693333333333	Avg Scanned	3815.693333333333	Avg Steps	147.15333333333334
K = 5 Attepts = 13	recall = 0.9226666666666666	ScanedPercent = 0.04055453333333333	Avg Scanned	4055.4533333333334	Avg Steps	158.69
K = 5 Attepts = 14	recall = 0.93	ScanedPercent = 0.0438954	Avg Scanned	4389.54	Avg Steps	171.30333333333334
K = 5 Attepts = 15	recall = 0.942	ScanedPercent = 0.0465155	Avg Scanned	4651.55	Avg Steps	183.58
K = 5 Attepts = 16	recall = 0.9553333333333334	ScanedPercent = 0.048713566666666666	Avg Scanned	4871.356666666667	Avg Steps	196.09666666666666
K = 5 Attepts = 17	recall = 0.952	ScanedPercent = 0.0508954	Avg Scanned	5089.54	Avg Steps	207.17
K = 5 Attepts = 18	recall = 0.9573333333333334	ScanedPercent = 0.0536767	Avg Scanned	5367.67	Avg Steps	219.56666666666666
K = 5 Attepts = 19	recall = 0.9533333333333334	ScanedPercent = 0.0555445	Avg Scanned	5554.45	Avg Steps	232.02333333333334
K = 5 Attepts = 20	recall = 0.968	ScanedPercent = 0.05827563333333333	Avg Scanned	5827.5633333333335	Avg Steps	242.83666666666667
Starting reparing!!!
 ReparingQueries:	10000
Time:	0 Links Added:	137718	recall	0.3913333333333333	ScanedPerc	0.004750633333333333	AvgScanned	475.06333333333333	AvgSteps	11.876666666666667	recall	0.6186666666666667	ScanedPerc	0.009378566666666666	AvgScanned	937.8566666666667	AvgSteps	24.56	recall	0.6973333333333334	ScanedPerc	0.013211	AvgScanned	1321.1	AvgSteps	36.38333333333333	recall	0.7773333333333333	ScanedPerc	0.0170233	AvgScanned	1702.33	AvgSteps	47.77333333333333	recall	0.8113333333333334	ScanedPerc	0.021276166666666665	AvgScanned	2127.616666666667	AvgSteps	60.85666666666667	recall	0.8706666666666667	ScanedPerc	0.024328433333333333	AvgScanned	2432.8433333333332	AvgSteps	72.37333333333333	recall	0.8853333333333333	ScanedPerc	0.028227866666666667	AvgScanned	2822.786666666667	AvgSteps	84.97666666666667	recall	0.892	ScanedPerc	0.031108966666666668	AvgScanned	3110.8966666666665	AvgSteps	96.65	recall	0.8993333333333333	ScanedPerc	0.0347298	AvgScanned	3472.98	AvgSteps	108.57666666666667	recall	0.9346666666666666	ScanedPerc	0.03817453333333334	AvgScanned	3817.4533333333334	AvgSteps	121.76333333333334	recall	0.948	ScanedPerc	0.040934333333333336	AvgScanned	4093.4333333333334	AvgSteps	133.18	recall	0.948	ScanedPerc	0.0444471	AvgScanned	4444.71	AvgSteps	144.45666666666668	recall	0.9566666666666667	ScanedPerc	0.0466404	AvgScanned	4664.04	AvgSteps	157.17333333333335	recall	0.9513333333333334	ScanedPerc	0.050391	AvgScanned	5039.1	AvgSteps	168.65	recall	0.964	ScanedPerc	0.05422966666666667	AvgScanned	5422.966666666666	AvgSteps	180.00333333333333	recall	0.964	ScanedPerc	0.05632996666666667	AvgScanned	5632.996666666667	AvgSteps	192.47666666666666	recall	0.97	ScanedPerc	0.059394133333333335	AvgScanned	5939.413333333333	AvgSteps	204.85	recall	0.974	ScanedPerc	0.0613457	AvgScanned	6134.57	AvgSteps	214.14	recall	0.9726666666666667	ScanedPerc	0.064715	AvgScanned	6471.5	AvgSteps	228.07333333333332	recall	0.9726666666666667	ScanedPerc	0.06687733333333333	AvgScanned	6687.733333333334	AvgSteps	239.35	
Time:	1 Links Added:	106285	recall	0.42133333333333334	ScanedPerc	0.0053667666666666666	AvgScanned	536.6766666666666	AvgSteps	12.053333333333333	recall	0.6186666666666667	ScanedPerc	0.010168266666666667	AvgScanned	1016.8266666666667	AvgSteps	24.186666666666667	recall	0.75	ScanedPerc	0.014756766666666667	AvgScanned	1475.6766666666667	AvgSteps	36.24	recall	0.8106666666666666	ScanedPerc	0.018825366666666666	AvgScanned	1882.5366666666666	AvgSteps	47.88666666666666	recall	0.852	ScanedPerc	0.0229579	AvgScanned	2295.79	AvgSteps	59.943333333333335	recall	0.9013333333333333	ScanedPerc	0.027144233333333333	AvgScanned	2714.423333333333	AvgSteps	72.23333333333333	recall	0.9173333333333333	ScanedPerc	0.031592	AvgScanned	3159.2	AvgSteps	85.29	recall	0.9253333333333333	ScanedPerc	0.03478616666666667	AvgScanned	3478.616666666667	AvgSteps	95.84666666666666	recall	0.9453333333333334	ScanedPerc	0.038424966666666664	AvgScanned	3842.4966666666664	AvgSteps	107.86	recall	0.946	ScanedPerc	0.04149933333333333	AvgScanned	4149.933333333333	AvgSteps	118.1	recall	0.9586666666666667	ScanedPerc	0.04590703333333333	AvgScanned	4590.703333333333	AvgSteps	131.92333333333335	recall	0.9666666666666667	ScanedPerc	0.049141533333333334	AvgScanned	4914.153333333334	AvgSteps	143.74333333333334	recall	0.96	ScanedPerc	0.05239253333333333	AvgScanned	5239.253333333333	AvgSteps	156.09333333333333	recall	0.966	ScanedPerc	0.05539943333333333	AvgScanned	5539.943333333334	AvgSteps	166.76	recall	0.9753333333333334	ScanedPerc	0.05854823333333333	AvgScanned	5854.823333333334	AvgSteps	178.70666666666668	recall	0.9793333333333333	ScanedPerc	0.0615385	AvgScanned	6153.85	AvgSteps	190.22666666666666	recall	0.9813333333333333	ScanedPerc	0.06415363333333333	AvgScanned	6415.363333333334	AvgSteps	200.87	recall	0.976	ScanedPerc	0.0673318	AvgScanned	6733.18	AvgSteps	213.41666666666666	recall	0.978	ScanedPerc	0.07038933333333333	AvgScanned	7038.933333333333	AvgSteps	226.15	recall	0.9813333333333333	ScanedPerc	0.07250286666666667	AvgScanned	7250.286666666667	AvgSteps	237.62666666666667	
Time:	2 Links Added:	89813	recall	0.44066666666666665	ScanedPerc	0.0058526333333333335	AvgScanned	585.2633333333333	AvgSteps	11.683333333333334	recall	0.6786666666666666	ScanedPerc	0.0111798	AvgScanned	1117.98	AvgSteps	24.25	recall	0.7693333333333333	ScanedPerc	0.0159819	AvgScanned	1598.19	AvgSteps	35.68666666666667	recall	0.8573333333333333	ScanedPerc	0.0208974	AvgScanned	2089.74	AvgSteps	47.54333333333334	recall	0.8926666666666667	ScanedPerc	0.024671666666666668	AvgScanned	2467.1666666666665	AvgSteps	59.97666666666667	recall	0.9026666666666666	ScanedPerc	0.0296832	AvgScanned	2968.32	AvgSteps	71.42	recall	0.9313333333333333	ScanedPerc	0.033705733333333335	AvgScanned	3370.5733333333333	AvgSteps	83.77	recall	0.9433333333333334	ScanedPerc	0.0370573	AvgScanned	3705.73	AvgSteps	94.25333333333333	recall	0.9486666666666667	ScanedPerc	0.04180723333333333	AvgScanned	4180.723333333333	AvgSteps	107.12666666666667	recall	0.946	ScanedPerc	0.044925233333333335	AvgScanned	4492.5233333333335	AvgSteps	119.27	recall	0.9593333333333334	ScanedPerc	0.0484999	AvgScanned	4849.99	AvgSteps	130.11	recall	0.966	ScanedPerc	0.05179196666666667	AvgScanned	5179.196666666667	AvgSteps	141.50666666666666	recall	0.9706666666666667	ScanedPerc	0.056024	AvgScanned	5602.4	AvgSteps	153.73333333333332	recall	0.9626666666666667	ScanedPerc	0.0592464	AvgScanned	5924.64	AvgSteps	165.37	recall	0.976	ScanedPerc	0.06192346666666667	AvgScanned	6192.346666666666	AvgSteps	177.01	recall	0.978	ScanedPerc	0.06515036666666667	AvgScanned	6515.036666666667	AvgSteps	189.71	recall	0.9853333333333333	ScanedPerc	0.06882003333333334	AvgScanned	6882.003333333333	AvgSteps	201.67333333333335	recall	0.9853333333333333	ScanedPerc	0.071916	AvgScanned	7191.6	AvgSteps	212.56	recall	0.9826666666666667	ScanedPerc	0.07466406666666667	AvgScanned	7466.406666666667	AvgSteps	224.39333333333335	recall	0.982	ScanedPerc	0.07817776666666666	AvgScanned	7817.776666666667	AvgSteps	236.40666666666667	
Time:	3 Links Added:	80188	recall	0.4846666666666667	ScanedPerc	0.006155566666666667	AvgScanned	615.5566666666666	AvgSteps	11.556666666666667	recall	0.6953333333333334	ScanedPerc	0.012010466666666667	AvgScanned	1201.0466666666666	AvgSteps	23.463333333333335	recall	0.7946666666666666	ScanedPerc	0.0168342	AvgScanned	1683.42	AvgSteps	35.306666666666665	recall	0.8513333333333334	ScanedPerc	0.0217618	AvgScanned	2176.18	AvgSteps	46.96	recall	0.886	ScanedPerc	0.0265458	AvgScanned	2654.58	AvgSteps	58.32333333333333	recall	0.9186666666666666	ScanedPerc	0.030915366666666666	AvgScanned	3091.536666666667	AvgSteps	71.21333333333334	recall	0.934	ScanedPerc	0.03507473333333333	AvgScanned	3507.4733333333334	AvgSteps	82.7	recall	0.93	ScanedPerc	0.03996586666666667	AvgScanned	3996.5866666666666	AvgSteps	94.99333333333334	recall	0.9506666666666667	ScanedPerc	0.04381276666666667	AvgScanned	4381.276666666667	AvgSteps	106.99333333333334	recall	0.9613333333333334	ScanedPerc	0.047725166666666666	AvgScanned	4772.516666666666	AvgSteps	118.43333333333334	recall	0.9613333333333334	ScanedPerc	0.051286733333333334	AvgScanned	5128.673333333333	AvgSteps	129.55333333333334	recall	0.9606666666666667	ScanedPerc	0.055015266666666666	AvgScanned	5501.526666666667	AvgSteps	140.56666666666666	recall	0.972	ScanedPerc	0.0581083	AvgScanned	5810.83	AvgSteps	152.97	recall	0.9733333333333334	ScanedPerc	0.06271196666666666	AvgScanned	6271.196666666667	AvgSteps	164.24666666666667	recall	0.9793333333333333	ScanedPerc	0.06571406666666667	AvgScanned	6571.406666666667	AvgSteps	176.93	recall	0.9786666666666667	ScanedPerc	0.06908843333333334	AvgScanned	6908.843333333333	AvgSteps	188.41333333333333	recall	0.9813333333333333	ScanedPerc	0.0725134	AvgScanned	7251.34	AvgSteps	199.56	recall	0.986	ScanedPerc	0.07601666666666666	AvgScanned	7601.666666666667	AvgSteps	212.09	recall	0.9793333333333333	ScanedPerc	0.07873783333333334	AvgScanned	7873.783333333334	AvgSteps	222.29666666666665	recall	0.9846666666666667	ScanedPerc	0.08284853333333334	AvgScanned	8284.853333333333	AvgSteps	234.37666666666667	
Time:	4 Links Added:	73133	recall	0.512	ScanedPerc	0.006584733333333334	AvgScanned	658.4733333333334	AvgSteps	11.73	recall	0.6913333333333334	ScanedPerc	0.012166433333333334	AvgScanned	1216.6433333333334	AvgSteps	23.15	recall	0.8086666666666666	ScanedPerc	0.017874666666666667	AvgScanned	1787.4666666666667	AvgSteps	35.07666666666667	recall	0.8546666666666667	ScanedPerc	0.022972833333333335	AvgScanned	2297.2833333333333	AvgSteps	47.46	recall	0.904	ScanedPerc	0.028184866666666666	AvgScanned	2818.4866666666667	AvgSteps	59.306666666666665	recall	0.922	ScanedPerc	0.032361766666666666	AvgScanned	3236.1766666666667	AvgSteps	70.42	recall	0.9273333333333333	ScanedPerc	0.0368058	AvgScanned	3680.58	AvgSteps	82.08333333333333	recall	0.9586666666666667	ScanedPerc	0.041216133333333335	AvgScanned	4121.613333333334	AvgSteps	93.21333333333334	recall	0.9593333333333334	ScanedPerc	0.045460766666666666	AvgScanned	4546.076666666667	AvgSteps	104.84666666666666	recall	0.9493333333333334	ScanedPerc	0.049568966666666665	AvgScanned	4956.8966666666665	AvgSteps	117.54	recall	0.966	ScanedPerc	0.0539491	AvgScanned	5394.91	AvgSteps	128.90666666666667	recall	0.9746666666666667	ScanedPerc	0.05678913333333333	AvgScanned	5678.913333333333	AvgSteps	140.86	recall	0.9686666666666667	ScanedPerc	0.06142263333333333	AvgScanned	6142.263333333333	AvgSteps	152.94666666666666	recall	0.9766666666666667	ScanedPerc	0.06527823333333334	AvgScanned	6527.823333333334	AvgSteps	165.21	recall	0.9773333333333334	ScanedPerc	0.0686297	AvgScanned	6862.97	AvgSteps	175.66666666666666	recall	0.9853333333333333	ScanedPerc	0.07234846666666667	AvgScanned	7234.846666666666	AvgSteps	188.2	recall	0.9833333333333333	ScanedPerc	0.07513616666666667	AvgScanned	7513.616666666667	AvgSteps	198.33	recall	0.984	ScanedPerc	0.07886233333333334	AvgScanned	7886.233333333334	AvgSteps	210.01333333333332	recall	0.9873333333333333	ScanedPerc	0.08245216666666667	AvgScanned	8245.216666666667	AvgSteps	222.03	recall	0.986	ScanedPerc	0.086004	AvgScanned	8600.4	AvgSteps	234.11333333333334	
Time:	5 Links Added:	67671	recall	0.5393333333333333	ScanedPerc	0.0068519	AvgScanned	685.19	AvgSteps	11.703333333333333	recall	0.7306666666666667	ScanedPerc	0.013060833333333334	AvgScanned	1306.0833333333333	AvgSteps	23.45	recall	0.812	ScanedPerc	0.018595866666666665	AvgScanned	1859.5866666666666	AvgSteps	35.13	recall	0.8773333333333333	ScanedPerc	0.0240953	AvgScanned	2409.53	AvgSteps	46.43666666666667	recall	0.9193333333333333	ScanedPerc	0.029203733333333332	AvgScanned	2920.3733333333334	AvgSteps	58.11	recall	0.9293333333333333	ScanedPerc	0.033888	AvgScanned	3388.8	AvgSteps	69.93	recall	0.9413333333333334	ScanedPerc	0.0386755	AvgScanned	3867.55	AvgSteps	81.68333333333334	recall	0.9566666666666667	ScanedPerc	0.04354723333333333	AvgScanned	4354.723333333333	AvgSteps	94.31	recall	0.9533333333333334	ScanedPerc	0.0475824	AvgScanned	4758.24	AvgSteps	105.30333333333333	recall	0.97	ScanedPerc	0.0521127	AvgScanned	5211.27	AvgSteps	116.99666666666667	recall	0.98	ScanedPerc	0.05513953333333333	AvgScanned	5513.953333333333	AvgSteps	128.37333333333333	recall	0.9746666666666667	ScanedPerc	0.06003446666666667	AvgScanned	6003.446666666667	AvgSteps	140.81	recall	0.976	ScanedPerc	0.06367356666666667	AvgScanned	6367.356666666667	AvgSteps	151.46	recall	0.98	ScanedPerc	0.06716493333333333	AvgScanned	6716.493333333333	AvgSteps	162.45666666666668	recall	0.9813333333333333	ScanedPerc	0.07073396666666666	AvgScanned	7073.3966666666665	AvgSteps	174.74333333333334	recall	0.9766666666666667	ScanedPerc	0.07517376666666667	AvgScanned	7517.376666666667	AvgSteps	186.9	recall	0.9866666666666667	ScanedPerc	0.07834116666666667	AvgScanned	7834.116666666667	AvgSteps	197.55	recall	0.9873333333333333	ScanedPerc	0.08293866666666666	AvgScanned	8293.866666666667	AvgSteps	210.78333333333333	recall	0.9913333333333333	ScanedPerc	0.08573803333333334	AvgScanned	8573.803333333333	AvgSteps	220.77333333333334	recall	0.9893333333333333	ScanedPerc	0.0900545	AvgScanned	9005.45	AvgSteps	234.61	
Time:	6 Links Added:	62284	recall	0.5133333333333333	ScanedPerc	0.0072565	AvgScanned	725.65	AvgSteps	11.46	recall	0.7333333333333333	ScanedPerc	0.013542266666666667	AvgScanned	1354.2266666666667	AvgSteps	22.953333333333333	recall	0.8093333333333333	ScanedPerc	0.0192869	AvgScanned	1928.69	AvgSteps	34.74	recall	0.876	ScanedPerc	0.025109333333333334	AvgScanned	2510.9333333333334	AvgSteps	46.56	recall	0.906	ScanedPerc	0.030194033333333332	AvgScanned	3019.403333333333	AvgSteps	58.23	recall	0.9186666666666666	ScanedPerc	0.03502633333333333	AvgScanned	3502.633333333333	AvgSteps	69.73333333333333	recall	0.938	ScanedPerc	0.0401856	AvgScanned	4018.56	AvgSteps	81.56	recall	0.9466666666666667	ScanedPerc	0.0453395	AvgScanned	4533.95	AvgSteps	93.49	recall	0.9646666666666667	ScanedPerc	0.04940226666666667	AvgScanned	4940.2266666666665	AvgSteps	104.53	recall	0.968	ScanedPerc	0.05356693333333333	AvgScanned	5356.693333333334	AvgSteps	116.72	recall	0.9666666666666667	ScanedPerc	0.05788533333333333	AvgScanned	5788.533333333334	AvgSteps	127.68333333333334	recall	0.9746666666666667	ScanedPerc	0.0613576	AvgScanned	6135.76	AvgSteps	139.85333333333332	recall	0.9766666666666667	ScanedPerc	0.06630096666666667	AvgScanned	6630.096666666666	AvgSteps	151.46	recall	0.9806666666666667	ScanedPerc	0.06914216666666667	AvgScanned	6914.216666666666	AvgSteps	162.65	recall	0.984	ScanedPerc	0.0732727	AvgScanned	7327.27	AvgSteps	174.17666666666668	recall	0.9926666666666667	ScanedPerc	0.0769995	AvgScanned	7699.95	AvgSteps	184.96333333333334	recall	0.9846666666666667	ScanedPerc	0.080695	AvgScanned	8069.5	AvgSteps	198.2	recall	0.992	ScanedPerc	0.08508136666666667	AvgScanned	8508.136666666667	AvgSteps	209.07333333333332	recall	0.992	ScanedPerc	0.0884805	AvgScanned	8848.05	AvgSteps	221.69333333333333	recall	0.99	ScanedPerc	0.09201463333333333	AvgScanned	9201.463333333333	AvgSteps	231.45333333333335	
Time:	7 Links Added:	58965	recall	0.5466666666666666	ScanedPerc	0.007450733333333333	AvgScanned	745.0733333333334	AvgSteps	11.283333333333333	recall	0.7306666666666667	ScanedPerc	0.013740633333333334	AvgScanned	1374.0633333333333	AvgSteps	23.053333333333335	recall	0.8153333333333334	ScanedPerc	0.020568	AvgScanned	2056.8	AvgSteps	35.16	recall	0.892	ScanedPerc	0.0253637	AvgScanned	2536.37	AvgSteps	46.693333333333335	recall	0.916	ScanedPerc	0.0310358	AvgScanned	3103.58	AvgSteps	58.24	recall	0.932	ScanedPerc	0.036640033333333336	AvgScanned	3664.0033333333336	AvgSteps	69.6	recall	0.9513333333333334	ScanedPerc	0.04100906666666667	AvgScanned	4100.906666666667	AvgSteps	81.15333333333334	recall	0.9553333333333334	ScanedPerc	0.046375266666666665	AvgScanned	4637.526666666667	AvgSteps	93.2	recall	0.968	ScanedPerc	0.050652	AvgScanned	5065.2	AvgSteps	105.09666666666666	recall	0.9726666666666667	ScanedPerc	0.05494413333333333	AvgScanned	5494.413333333333	AvgSteps	116.19	recall	0.9833333333333333	ScanedPerc	0.05959723333333333	AvgScanned	5959.723333333333	AvgSteps	127.81	recall	0.9746666666666667	ScanedPerc	0.0635853	AvgScanned	6358.53	AvgSteps	139.28666666666666	recall	0.984	ScanedPerc	0.06769623333333333	AvgScanned	6769.623333333333	AvgSteps	151.18	recall	0.9833333333333333	ScanedPerc	0.07215113333333334	AvgScanned	7215.113333333334	AvgSteps	161.88	recall	0.9866666666666667	ScanedPerc	0.07540176666666666	AvgScanned	7540.176666666666	AvgSteps	173.31	recall	0.9846666666666667	ScanedPerc	0.08046603333333334	AvgScanned	8046.6033333333335	AvgSteps	185.6	recall	0.9906666666666667	ScanedPerc	0.0831843	AvgScanned	8318.43	AvgSteps	197.43666666666667	recall	0.9886666666666667	ScanedPerc	0.08656933333333333	AvgScanned	8656.933333333332	AvgSteps	209.26666666666668	recall	0.986	ScanedPerc	0.09064866666666667	AvgScanned	9064.866666666667	AvgSteps	220.14666666666668	recall	0.9946666666666667	ScanedPerc	0.0953306	AvgScanned	9533.06	AvgSteps	232.97	
Time:	8 Links Added:	55977	recall	0.5426666666666666	ScanedPerc	0.0076103333333333335	AvgScanned	761.0333333333333	AvgSteps	11.313333333333333	recall	0.772	ScanedPerc	0.014666333333333333	AvgScanned	1466.6333333333334	AvgSteps	22.85	recall	0.832	ScanedPerc	0.020855666666666668	AvgScanned	2085.5666666666666	AvgSteps	34.6	recall	0.88	ScanedPerc	0.026696733333333333	AvgScanned	2669.673333333333	AvgSteps	46.11666666666667	recall	0.9113333333333333	ScanedPerc	0.03190576666666667	AvgScanned	3190.576666666667	AvgSteps	58.2	recall	0.9293333333333333	ScanedPerc	0.0371836	AvgScanned	3718.36	AvgSteps	69.28	recall	0.9613333333333334	ScanedPerc	0.0431674	AvgScanned	4316.74	AvgSteps	81.50333333333333	recall	0.9606666666666667	ScanedPerc	0.04743426666666667	AvgScanned	4743.426666666666	AvgSteps	92.85	recall	0.968	ScanedPerc	0.0523607	AvgScanned	5236.07	AvgSteps	104.61666666666666	recall	0.9646666666666667	ScanedPerc	0.055565633333333336	AvgScanned	5556.5633333333335	AvgSteps	115.03666666666666	recall	0.97	ScanedPerc	0.06072516666666666	AvgScanned	6072.516666666666	AvgSteps	127.41333333333333	recall	0.9833333333333333	ScanedPerc	0.06483883333333333	AvgScanned	6483.883333333333	AvgSteps	138.57	recall	0.9793333333333333	ScanedPerc	0.07049536666666667	AvgScanned	7049.536666666667	AvgSteps	150.95333333333335	recall	0.9846666666666667	ScanedPerc	0.0738646	AvgScanned	7386.46	AvgSteps	162.63666666666666	recall	0.9793333333333333	ScanedPerc	0.07706086666666667	AvgScanned	7706.086666666667	AvgSteps	174.37	recall	0.9906666666666667	ScanedPerc	0.080944	AvgScanned	8094.4	AvgSteps	185.05333333333334	recall	0.988	ScanedPerc	0.0853272	AvgScanned	8532.72	AvgSteps	196.56333333333333	recall	0.9873333333333333	ScanedPerc	0.09009376666666667	AvgScanned	9009.376666666667	AvgSteps	209.30666666666667	recall	0.9866666666666667	ScanedPerc	0.09355726666666667	AvgScanned	9355.726666666667	AvgSteps	219.23333333333332	recall	0.9933333333333333	ScanedPerc	0.09747586666666666	AvgScanned	9747.586666666666	AvgSteps	231.57333333333332	
Time:	9 Links Added:	53689	recall	0.5733333333333334	ScanedPerc	0.008017766666666667	AvgScanned	801.7766666666666	AvgSteps	11.296666666666667	recall	0.7493333333333333	ScanedPerc	0.015140966666666667	AvgScanned	1514.0966666666666	AvgSteps	22.863333333333333	recall	0.8466666666666667	ScanedPerc	0.021306366666666667	AvgScanned	2130.6366666666668	AvgSteps	34.403333333333336	recall	0.8886666666666667	ScanedPerc	0.02716616666666667	AvgScanned	2716.616666666667	AvgSteps	46.12	recall	0.924	ScanedPerc	0.03247796666666666	AvgScanned	3247.7966666666666	AvgSteps	56.94	recall	0.9426666666666667	ScanedPerc	0.0385915	AvgScanned	3859.15	AvgSteps	69.50666666666666	recall	0.956	ScanedPerc	0.0434794	AvgScanned	4347.94	AvgSteps	80.17	recall	0.954	ScanedPerc	0.04866673333333333	AvgScanned	4866.673333333333	AvgSteps	92.66666666666667	recall	0.9673333333333334	ScanedPerc	0.0529799	AvgScanned	5297.99	AvgSteps	103.65666666666667	recall	0.974	ScanedPerc	0.0582864	AvgScanned	5828.64	AvgSteps	115.89666666666666	recall	0.98	ScanedPerc	0.062703	AvgScanned	6270.3	AvgSteps	126.74333333333334	recall	0.972	ScanedPerc	0.06663546666666667	AvgScanned	6663.546666666667	AvgSteps	138.89666666666668	recall	0.9766666666666667	ScanedPerc	0.07177503333333334	AvgScanned	7177.503333333333	AvgSteps	150.01	recall	0.9813333333333333	ScanedPerc	0.07538646666666667	AvgScanned	7538.6466666666665	AvgSteps	161.69666666666666	recall	0.9866666666666667	ScanedPerc	0.0784192	AvgScanned	7841.92	AvgSteps	172.75666666666666	recall	0.9873333333333333	ScanedPerc	0.08363646666666667	AvgScanned	8363.646666666667	AvgSteps	184.35	recall	0.9906666666666667	ScanedPerc	0.0881631	AvgScanned	8816.31	AvgSteps	196.75333333333333	recall	0.9893333333333333	ScanedPerc	0.0915676	AvgScanned	9156.76	AvgSteps	208.19333333333333	recall	0.9866666666666667	ScanedPerc	0.09526243333333333	AvgScanned	9526.243333333334	AvgSteps	219.85666666666665	recall	0.9913333333333333	ScanedPerc	0.0998532	AvgScanned	9985.32	AvgSteps	230.98333333333332	
