lenght;probability;succeed
0;0,0;0,0
1;0,0001;0,0
2;0,0006;0,0002
3;0,0005;0,0004
4;0,0015;0,0015
5;0,0029;0,0029
6;0,0109;0,0109
7;0,0198;0,0198
8;0,0318;0,0318
9;0,0494;0,0494
10;0,0649;0,0649
11;0,0818;0,0818
12;0,092;0,092
13;0,1008;0,1008
14;0,1004;0,1004
15;0,0902;0,0902
16;0,0821;0,0821
17;0,0672;0,0672
18;0,054;0,054
19;0,0414;0,0414
20;0,0325;0,0325
21;0,0217;0,0217
22;0,0187;0,0187
23;0,0128;0,0128
24;0,0082;0,0082
25;0,0059;0,0059
26;0,0029;0,0029
27;0,0019;0,0019
28;0,0013;0,0013
29;0,0009;0,0009
30;0,0004;0,0004
31;0,0003;0,0003
