size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;8; 3;0,003912;
100000;7; 2;0,158469;
100000;7; 2;0,028795;
100000;8; 3;0,026260;
100000;7; 5;0,025554;
100000;8; 3;0,001391;
100000;7; 1;0,024566;
100000;8; 1;0,043830;
100000;7; 1;0,152363;
100000;7; 4;0,032397;
100000;6; 2;0,025231;
100000;6; 2;0,026849;
100000;6; 2;0,039959;
100000;7; 2;0,028236;
100000;7; 5;0,005645;
100000;6; 3;0,014426;
100000;5; 2;0,023991;
100000;7; 2;0,031083;
100000;7; 1;0,112184;
100000;7; 3;0,003553;
100000;7; 1;0,072981;
100000;7; 2;0,033216;
100000;7; 1;0,053076;
100000;7; 2;0,005404;
100000;6; 3;0,068741;
100000;3; 2;0,004416;
100000;7; 2;0,008699;
100000;7; 2;0,003108;
100000;8; 1;0,107016;
100000;5; 2;0,040790;
100000;7; 1;0,193744;
100000;7; 2;0,002387;
100000;6; 1;0,103880;
100000;7; 3;0,047575;
100000;7; 4;0,011280;
100000;6; 4;0,007186;
100000;7; 2;0,017324;
100000;6; 2;0,005779;
100000;6; 2;0,065750;
100000;6; 2;0,035776;
100000;7; 2;0,055351;
100000;5; 2;0,074040;
100000;6; 3;0,002713;
100000;7; 4;0,020139;
100000;7; 1;0,095864;
100000;7; 2;0,110000;
100000;6; 3;0,004449;
100000;6; 3;0,018335;
100000;7; 3;0,039048;
100000;7; 3;0,013253;
100000;7; 2;0,039230;
100000;7; 3;0,093351;
100000;6; 1;0,002071;
100000;5; 2;0,028493;
100000;7; 2;0,023656;
100000;6; 2;0,055218;
100000;7; 2;0,021873;
100000;7; 1;0,058759;
100000;7; 2;0,014318;
100000;7; 2;0,004767;
100000;5; 5;0,004147;
100000;7; 2;0,055717;
100000;7; 3;0,002889;
100000;6; 2;0,005314;
100000;7; 2;0,010101;
100000;5; 2;0,015462;
100000;6; 5;0,003327;
100000;7; 4;0,006960;
100000;6; 2;0,030089;
100000;6; 2;0,028849;
100000;7; 2;0,079960;
100000;6; 2;0,060267;
100000;7; 1;0,051846;
100000;8; 3;0,002607;
100000;6; 2;0,002166;
