Algorithm:	Modified Algorithm nn=3 initAttems=20
3	24366
4	18546
5	14130
6	10672
7	8136
8	6184
9	4700
10	3471
11	2625
12	1883
13	1409
14	1041
15	726
16	572
17	410
18	346
19	224
20	159
21	102
22	76
23	55
24	42
25	36
26	22
27	15
28	12
29	12
30	7
31	8
32	3
33	2
34	3
35	2
37	2
38	1
Total link number:	299994
