lenght;probability
0;1,00260677762e-05
1;5,71485863244e-05
2;0,000335873270503
3;0,00205534389412
4;0,0121024664127
5;0,0680198516142
6;0,291338480048
7;0,484449568879
8;0,136981150993
9;0,00465009023461
