lenght;probability;succeed
0;0,0;0,0
1;0,0001;0,0
2;0,0009;0,0009
3;0,0166;0,0122
4;0,1188;0,0934
5;0,2886;0,2413
6;0,3215;0,2815
7;0,1823;0,1676
8;0,0579;0,0544
9;0,0118;0,0111
10;0,0014;0,0013
