Algorithm:	Modified Algorithm nn=30 initAttems=20
30	3623
31	3474
32	3317
33	3234
34	3215
35	2905
36	2898
37	2722
38	2558
39	2537
40	2426
41	2312
42	2188
43	2196
44	2046
45	2026
46	1919
47	1793
48	1795
49	1649
50	1601
51	1562
52	1550
53	1490
54	1433
55	1366
56	1284
57	1251
58	1202
59	1146
60	1110
61	1154
62	1100
63	993
64	993
65	918
66	934
67	865
68	854
69	817
70	788
71	746
72	759
73	685
74	700
75	686
76	622
77	641
78	591
79	522
80	570
81	546
82	544
83	499
84	509
85	480
86	493
87	445
88	412
89	393
90	417
91	381
92	363
93	385
94	384
95	329
96	376
97	318
98	287
99	307
100	313
101	272
102	270
103	263
104	245
105	236
106	235
107	236
108	246
109	208
110	208
111	240
112	202
113	176
114	191
115	192
116	156
117	161
118	151
119	169
120	149
121	159
122	157
123	149
124	155
125	148
126	130
127	120
128	140
129	140
130	107
131	115
132	106
133	110
134	114
135	109
136	100
137	102
138	108
139	99
140	76
141	80
142	83
143	79
144	77
145	75
146	63
147	75
148	65
149	60
150	61
151	71
152	61
153	51
154	48
155	64
156	52
157	53
158	55
159	43
160	57
161	52
162	48
163	46
164	38
165	53
166	36
167	37
168	44
169	37
170	48
171	50
172	36
173	40
174	45
175	35
176	38
177	34
178	39
179	33
180	28
181	31
182	31
183	25
184	29
185	27
186	28
187	37
188	34
189	19
190	20
191	18
192	38
193	27
194	15
195	27
196	18
197	19
198	19
199	23
200	12
201	31
202	16
203	17
204	15
205	16
206	13
207	24
208	15
209	12
210	19
211	18
212	10
213	13
214	13
215	7
216	9
217	10
218	14
219	9
220	9
221	8
222	13
223	14
224	9
225	13
226	6
227	10
228	6
229	10
230	12
231	6
232	4
233	12
234	9
235	9
236	5
237	5
238	7
239	9
240	6
241	6
242	15
243	10
244	2
245	7
246	5
247	5
248	6
249	8
250	4
251	7
252	5
253	8
254	7
255	10
256	5
257	5
258	4
259	2
260	2
261	2
262	9
263	5
264	4
265	4
266	8
267	1
268	2
269	2
270	5
271	3
272	2
273	3
274	5
275	2
276	2
277	4
278	3
279	3
280	7
281	2
282	1
283	1
284	3
286	3
287	3
288	2
289	4
290	2
291	4
292	2
293	4
294	1
295	2
296	4
297	1
298	2
299	3
300	3
301	1
302	3
303	5
304	1
305	1
306	3
307	3
308	2
309	2
311	2
312	2
313	1
316	1
317	1
318	1
319	2
320	2
321	2
322	2
323	2
326	1
328	2
329	2
331	1
332	2
335	1
337	1
339	1
342	3
343	2
344	1
345	1
347	1
349	2
351	1
353	2
355	1
362	1
368	1
369	2
372	1
373	3
374	1
376	1
379	1
381	2
382	1
387	1
388	1
392	1
393	1
409	1
411	1
413	1
415	1
417	1
419	2
421	1
423	1
425	1
434	1
436	1
437	1
438	1
443	2
446	1
464	2
472	1
489	1
505	1
508	1
513	1
562	1
Total link number:	2999533
