size;graphDistance;greedyWalkPathLenght;metricDistance;
100000;8; 4;0,016082;
100000;8; 2;0,031700;
100000;8; 1;0,072283;
100000;7; 1;0,158954;
100000;8; 3;0,007492;
100000;7; 1;0,104453;
100000;7; 3;0,057453;
100000;9; 1;0,023387;
100000;8; 3;0,056947;
100000;7; 2;0,083359;
100000;7; 1;0,351729;
100000;7; 1;0,238010;
100000;8; 4;0,089589;
100000;8; 2;0,172237;
100000;9; 1;0,019525;
100000;8; 5;0,004262;
100000;9; 4;0,011848;
100000;8; 2;0,016165;
100000;8; 2;0,002270;
100000;7; 2;0,152440;
100000;8; 2;0,022838;
100000;8; 2;0,053271;
100000;7; 2;0,005699;
100000;8; 4;0,000772;
100000;9; 2;0,055992;
100000;8; 2;0,012645;
100000;8; 2;0,005872;
100000;7; 4;0,014659;
100000;4; 2;0,039009;
100000;2147483647; 1;0,390067;
100000;7; 3;0,052256;
100000;8; 2;0,002038;
100000;8; 1;0,006215;
100000;8; 2;0,021241;
100000;10; 1;0,008411;
100000;7; 1;0,286406;
100000;8; 2;0,033717;
100000;7; 2;0,009003;
100000;8; 2;0,055694;
100000;8; 4;0,088414;
100000;7; 3;0,022146;
100000;9; 4;0,024260;
100000;8; 2;0,023935;
100000;7; 2;0,085872;
100000;7; 3;0,054985;
100000;10; 1;0,061695;
100000;8; 2;0,006243;
100000;10; 4;0,007890;
100000;6; 2;0,131127;
100000;8; 2;0,041420;
100000;8; 4;0,022799;
100000;8; 2;0,177235;
100000;8; 2;0,031878;
100000;9; 2;0,182933;
100000;8; 2;0,000666;
100000;9; 3;0,018251;
100000;7; 3;0,008679;
100000;9; 2;0,056850;
100000;7; 3;0,108599;
100000;8; 4;0,036964;
100000;9; 3;0,058147;
100000;7; 1;0,051154;
100000;8; 2;0,014872;
100000;9; 2;0,151150;
100000;8; 1;0,038802;
100000;9; 2;0,037964;
100000;2147483647; 1;0,061815;
100000;9; 2;0,076968;
100000;8; 1;0,044058;
100000;9; 2;0,052887;
100000;10; 3;0,020285;
100000;7; 2;0,025480;
100000;8; 2;0,151083;
100000;8; 3;0,103689;
100000;9; 2;0,002323;
100000;7; 1;0,020523;
100000;7; 3;0,041579;
100000;9; 2;0,289122;
100000;8; 2;0,049187;
100000;7; 1;0,159605;
100000;7; 1;0,147424;
100000;9; 2;0,030482;
100000;9; 3;0,054695;
100000;2147483647; 1;0,448500;
100000;8; 1;0,020119;
100000;7; 3;0,038235;
100000;8; 3;0,001289;
100000;9; 3;0,004351;
100000;8; 2;0,038870;
100000;7; 2;0,118597;
100000;9; 2;0,038374;
100000;7; 1;0,172849;
100000;9; 1;0,036488;
100000;10; 1;0,109646;
100000;5; 4;0,016975;
100000;6; 2;0,018909;
100000;7; 3;0,036054;
100000;8; 2;0,138633;
100000;8; 2;0,000397;
100000;8; 1;0,002051;
100000;8; 3;0,008249;
100000;9; 2;0,182207;
100000;10; 2;0,026941;
100000;6; 1;0,106037;
100000;8; 3;0,000543;
100000;8; 3;0,020694;
100000;8; 1;0,189995;
100000;2147483647; 1;0,271913;
100000;8; 2;0,057907;
100000;9; 2;0,029068;
100000;9; 3;0,075161;
100000;7; 5;0,052709;
100000;8; 3;0,021395;
100000;9; 1;0,065926;
100000;7; 3;0,005354;
100000;8; 4;0,002259;
100000;7; 3;0,019597;
100000;7; 1;0,094125;
100000;7; 2;0,153463;
100000;9; 2;0,060115;
100000;7; 4;0,022595;
100000;8; 4;0,017697;
100000;8; 2;0,018234;
100000;8; 2;0,167653;
100000;6; 3;0,007694;
100000;9; 1;0,045603;
100000;7; 2;0,017282;
100000;7; 2;0,025448;
100000;9; 2;0,001078;
100000;8; 3;0,026651;
100000;5; 2;0,001795;
100000;8; 2;0,077855;
100000;7; 3;0,003622;
100000;7; 1;0,025103;
