lenght;probability
0;1,02108541379e-05
1;4,18645019656e-05
2;0,000173584520345
3;0,000727012814622
4;0,00290396691683
5;0,0115362230051
6;0,0441384591821
7;0,147381426456
8;0,329784040435
9;0,323163322612
10;0,120404349824
11;0,0179517026599
12;0,00164803185786
13;0,000121509164242
14;1,42951957931e-05
