Algorithm:	Modified Algorithm nn=2 initAttems=20
2	32588
3	21905
4	15025
5	10335
6	7055
7	4635
8	3081
9	1953
10	1196
11	833
12	503
13	302
14	229
15	129
16	80
17	53
18	32
19	28
20	14
21	13
22	4
23	3
24	2
26	1
29	1
Total link number:	199997
